#Magnetic field (mT)	Frequency (GHz)	Normalized transmission
65.0	2.093761500	1.002825261
65.0	2.093781500	1.000354986
65.0	2.093801500	1.002535012
65.0	2.093821500	0.999774231
65.0	2.093841500	1.001836295
65.0	2.093861500	1.001882447
65.0	2.093881600	1.001211972
65.0	2.093901600	1.001372033
65.0	2.093921600	1.000139816
65.0	2.093941600	1.001132849
65.0	2.093961600	1.000335295
65.0	2.093981600	1.000356526
65.0	2.094001600	1.001087098
65.0	2.094021600	1.002355796
65.0	2.094041600	1.002655259
65.0	2.094061600	1.001153120
65.0	2.094081600	1.001185182
65.0	2.094101600	1.000707860
65.0	2.094121600	0.999848959
65.0	2.094141700	1.000931590
65.0	2.094161700	1.000188866
65.0	2.094181700	1.000988705
65.0	2.094201700	1.002001751
65.0	2.094221700	1.001401706
65.0	2.094241700	1.000377158
65.0	2.094261700	0.997418227
65.0	2.094281700	0.998834371
65.0	2.094301700	1.000603117
65.0	2.094321700	1.001182084
65.0	2.094341700	1.001924471
65.0	2.094361700	0.999979724
65.0	2.094381800	1.001941728
65.0	2.094401800	1.001922013
65.0	2.094421800	1.001552504
65.0	2.094441800	1.000961727
65.0	2.094461800	1.000030214
65.0	2.094481800	1.000163890
65.0	2.094501800	0.998001905
65.0	2.094521800	1.000113454
65.0	2.094541800	1.000438325
65.0	2.094561800	1.001571187
65.0	2.094581800	1.001358933
65.0	2.094601800	1.002911781
65.0	2.094621800	1.001939256
65.0	2.094641900	1.000669496
65.0	2.094661900	1.001848213
65.0	2.094681900	1.000075179
65.0	2.094701900	1.000522189
65.0	2.094721900	1.000868695
65.0	2.094741900	1.000859908
65.0	2.094761900	1.001599817
65.0	2.094781900	1.000391256
65.0	2.094801900	1.001722653
65.0	2.094821900	0.998796268
65.0	2.094841900	0.999888757
65.0	2.094861900	1.001844153
65.0	2.094882000	1.000443255
65.0	2.094902000	0.999046177
65.0	2.094922000	1.000490167
65.0	2.094942000	1.000038448
65.0	2.094962000	1.001799895
65.0	2.094982000	1.002079039
65.0	2.095002000	1.001440927
65.0	2.095022000	0.999060773
65.0	2.095042000	0.999949094
65.0	2.095062000	1.001137638
65.0	2.095082000	0.999768735
65.0	2.095102000	0.999413308
65.0	2.095122000	1.000181736
65.0	2.095142100	1.002568077
65.0	2.095162100	1.000062506
65.0	2.095182100	0.997957243
65.0	2.095202100	0.998730910
65.0	2.095222100	0.999597855
65.0	2.095242100	1.000106402
